text,label
Sau nhiều ngày chờ đợi kết quả cuối cùng khiến tôi cảm thấy nhẹ nhõm hơn,positive
Khi nghe tin đó tôi cảm thấy rất yên tâm,positive
Nhìn thấy mọi việc tiến triển tốt tôi trở nên lạc quan hơn,positive
Sau cuộc trao đổi hôm nay tôi cảm thấy khá hài lòng,positive
Tin đó khiến tôi cảm thấy thật sự ấm áp,positive
Khi nhìn lại những gì đã làm được tôi cảm thấy mãn nguyện,positive
Sau nhiều cố gắng cuối cùng mọi việc cũng ổn định,positive
Khi nhận được tin tốt tôi cảm thấy rất nhẹ nhõm,positive
Mọi thứ diễn ra đúng kế hoạch nên tôi khá yên tâm,positive
Kết quả hôm nay khiến tôi khá hài lòng,positive
Sau cuộc họp tôi thấy mọi việc đang đi đúng hướng,positive
Khi mọi người cùng hợp tác tôi cảm thấy rất tin tưởng,positive
Tin vui đó khiến tôi cảm thấy rất phấn khởi,positive
Khi nhìn thấy kết quả tốt tôi trở nên tự tin hơn,positive
Sau thời gian dài chờ đợi cuối cùng mọi việc cũng thuận lợi,positive
Khi nghe tin mọi chuyện đã ổn tôi cảm thấy rất nhẹ nhõm,positive
Kết quả đạt được khiến tôi khá hài lòng,positive
Sau cuộc trao đổi hôm nay tôi cảm thấy khá yên tâm,positive
Khi mọi người hỗ trợ nhau công việc trở nên dễ dàng hơn,positive
Những tiến triển gần đây khiến tôi khá lạc quan,positive
Sau khi hoàn thành công việc tôi cảm thấy rất thoải mái,positive
Khi nghe tin tốt tôi cảm thấy tinh thần phấn chấn hơn,positive
Nhìn thấy kết quả khả quan tôi cảm thấy rất vui,positive
Sau nhiều nỗ lực kết quả đạt được khiến tôi hài lòng,positive
Khi mọi việc được giải quyết tôi cảm thấy nhẹ nhõm,positive
Sau buổi thảo luận tôi thấy mọi thứ khá tích cực,positive
Khi nghe tin đó tôi cảm thấy an tâm hơn,positive
Sau thời gian dài cố gắng kết quả thật đáng khích lệ,positive
Nhìn thấy mọi việc ổn định tôi cảm thấy yên tâm,positive
Khi nhận được sự hỗ trợ tôi cảm thấy rất ấm áp,positive
Sau khi nghe tin tốt tôi thấy tinh thần phấn chấn,positive
Khi mọi thứ tiến triển thuận lợi tôi cảm thấy rất vui,positive
Sau khi hoàn thành mục tiêu tôi thấy rất hài lòng,positive
Khi nghe tin tốt tôi cảm thấy lạc quan hơn,positive
Nhìn thấy kết quả tốt tôi thấy khá vui,positive
Sau khi mọi việc kết thúc tôi thấy rất nhẹ nhõm,positive
Khi nghe tin tích cực tôi cảm thấy phấn khởi,positive
Sau khi nhận được phản hồi tốt tôi cảm thấy hài lòng,positive
Nhìn thấy mọi việc tiến triển tốt tôi rất vui,positive
Khi nghe tin tốt tôi thấy yên tâm hơn,positive
Sau khi mọi việc được giải quyết tôi thấy khá nhẹ nhõm,positive
Khi nhận được tin tốt tôi thấy rất vui,positive
Sau buổi trao đổi mọi thứ trở nên rõ ràng hơn và tôi khá hài lòng,positive
Khi nhìn thấy tiến triển tốt tôi cảm thấy khá lạc quan,positive
Sau khi mọi người cùng hợp tác công việc tiến triển rất tốt,positive
Khi nghe tin tích cực tôi cảm thấy rất yên tâm,positive
Sau khi nhận được sự giúp đỡ tôi thấy khá ấm áp,positive
Khi nhìn thấy mọi việc ổn định tôi cảm thấy hài lòng,positive
Sau khi hoàn thành kế hoạch tôi cảm thấy rất vui,positive
Khi nghe tin tốt tôi thấy rất nhẹ nhõm,positive
Những gì xảy ra hôm nay khiến tôi khá thất vọng,negative
Sau cuộc họp tôi cảm thấy khá hụt hẫng,negative
Tin đó khiến tôi cảm thấy bàng hoàng,negative
Kết quả vừa rồi khiến tôi khá lo lắng,negative
Sau nhiều nỗ lực nhưng mọi việc vẫn không cải thiện,negative
Tôi cảm thấy cách giải quyết này chưa hợp lý,negative
Những gì xảy ra khiến tôi khá buồn,negative
Kết quả hôm nay khiến tôi rất tiếc nuối,negative
Sau khi nghe tin đó tôi khá bối rối,negative
Tôi cảm thấy quyết định này không ổn,negative
Sau buổi trao đổi tôi vẫn thấy khá thất vọng,negative
Những gì diễn ra hôm nay khiến tôi lo lắng,negative
Sau khi xem kết quả tôi khá hụt hẫng,negative
Tin tức đó khiến tôi bàng hoàng một lúc lâu,negative
Sau khi nghe giải thích tôi vẫn cảm thấy không thỏa đáng,negative
Kết quả cuối cùng thấp hơn nhiều so với mong đợi,negative
Sau nhiều ngày chờ đợi nhưng kết quả không như hy vọng,negative
Những thay đổi gần đây khiến tôi khá lo ngại,negative
Sau khi nghe tin xấu tôi thấy khá buồn,negative
Khi nhìn lại kết quả tôi khá tiếc nuối,negative
Sau khi xem xét kỹ tôi thấy kế hoạch này còn nhiều vấn đề,negative
Những gì vừa xảy ra khiến tôi không yên tâm,negative
Sau cuộc thảo luận tôi vẫn cảm thấy bất an,negative
Tin đó khiến tôi cảm thấy khá đau lòng,negative
Sau khi nghe giải thích tôi vẫn không hài lòng,negative
Kết quả hôm nay khiến tôi khá chán nản,negative
Sau khi nhìn thấy kết quả tôi khá buồn,negative
Tin tức vừa rồi khiến tôi cảm thấy hụt hẫng,negative
Sau khi xem báo cáo tôi khá thất vọng,negative
Khi nghe tin đó tôi thấy khá lo lắng,negative
Sau khi mọi việc diễn ra tôi khá buồn,negative
Kết quả vừa rồi khiến tôi không vui,negative
Sau khi nhìn lại mọi việc tôi khá tiếc nuối,negative
Những gì xảy ra khiến tôi cảm thấy không thoải mái,negative
Sau khi nghe tin xấu tôi cảm thấy khá buồn,negative
Khi nhìn thấy tình hình hiện tại tôi khá lo ngại,negative
Sau buổi trao đổi tôi cảm thấy khá nản,negative
Những gì diễn ra hôm nay khiến tôi bối rối,negative
Sau khi xem kết quả tôi cảm thấy khá buồn,negative
Tin đó khiến tôi không khỏi lo lắng,negative
Sau khi nghe giải thích tôi vẫn cảm thấy không ổn,negative
Khi nhìn thấy kết quả này tôi khá thất vọng,negative
Sau khi mọi việc kết thúc tôi cảm thấy tiếc nuối,negative
Những gì vừa xảy ra khiến tôi không hài lòng,negative
Sau khi nghe tin đó tôi thấy khá chán nản,negative
Khi nhìn lại mọi việc tôi khá buồn,negative
Sau khi xem báo cáo tôi cảm thấy lo lắng,negative
Tin tức đó khiến tôi khá sốc,negative
Sau khi nghe kết quả tôi khá thất vọng,negative
Khi nhìn thấy tình hình hiện tại tôi thấy không ổn,negative
lũ cuốn trôi mất nhà,negative
Cuộc họp diễn ra trong khoảng một giờ,neutral
Nhóm đã hoàn thành phần việc được giao,positive
Bản báo cáo đã được gửi vào buổi chiều,neutral
Kế hoạch sẽ được xem xét lại vào tuần tới,neutral
Mọi người đã tham gia đầy đủ cuộc họp hôm nay,neutral
Nhóm sẽ tiếp tục làm việc vào ngày mai,neutral
Kết quả sẽ được công bố vào cuối tháng,neutral
Bản kế hoạch gồm ba phần chính,neutral
Dữ liệu đã được cập nhật vào hệ thống,neutral
Nhóm sẽ thảo luận thêm về vấn đề này vào tuần tới,neutral
Buổi họp bắt đầu lúc chín giờ sáng,neutral
Mọi người đã nhận được tài liệu trước cuộc họp,neutral
Bản báo cáo có tổng cộng năm trang,neutral
Nhóm sẽ tiếp tục theo dõi tiến độ công việc,neutral
Kết quả sẽ được đánh giá lại vào tuần sau,neutral
Mọi người đang xem xét các phương án khác nhau,neutral
Bản kế hoạch mới đã được gửi qua email,neutral
Cuộc thảo luận kéo dài khoảng ba mươi phút,neutral
